X,Y,timestamp,moisture,speed,width,yield,yield (bu/ac)
440842.1925,5018528.379,2021-11-07T01:07:31,21.60000038,5.795454502,20.01000023,7912.713379,141.2984532
440839.7172,5018529.034,2021-11-07T01:07:32,21.39999962,5.727272511,20.01000023,8244.292969,147.2195173
440837.2139,5018529.704,2021-11-07T01:07:33,21.20000076,5.795454502,20.01000023,8311.332031,148.4166434
440834.6406,5018530.417,2021-11-07T01:07:34,21.10000038,5.952272892,20.01000023,7869.796875,140.5320871
440832.0529,5018531.115,2021-11-07T01:07:35,21.20000076,5.972727299,20.01000023,7230.374512,129.1138306
440829.4792,5018531.786,2021-11-07T01:07:36,21.60000038,5.952272892,20.01000023,6524.316406,116.5056501
440826.9058,5018532.498,2021-11-07T01:07:37,21.89999962,5.972727299,20.01000023,6040.692871,107.8695156
440824.3462,5018533.183,2021-11-07T01:07:38,22,5.904545307,20.01000023,6149.030762,109.8041208
440821.7869,5018533.895,2021-11-07T01:07:39,22.29999924,5.952272892,20.01000023,6626.568359,118.3315778
440819.157,5018534.595,2021-11-07T01:07:40,22.60000038,6.081818104,20.01000023,7242.77832,129.3353271
440816.4991,5018535.308,2021-11-07T01:07:41,22.70000076,6.150000095,20.01000023,7727.251953,137.986642
440813.827,5018536.022,2021-11-07T01:07:42,22.70000076,6.197727203,20.01000023,7821.101074,139.6625192
440811.141,5018536.749,2021-11-07T01:07:43,22.60000038,6.197727203,20.01000023,7546.04834,134.7508632
440808.4831,5018537.477,2021-11-07T01:07:44,22.5,6.177272797,20.01000023,6985.811035,124.7466256
440805.8394,5018538.204,2021-11-07T01:07:45,22.5,6.109090805,20.01000023,6439.847656,114.9972796
440803.2236,5018538.903,2021-11-07T01:07:46,22.5,6.061363697,20.01000023,6063.84082,108.2828718
440800.6078,5018539.602,2021-11-07T01:07:47,22.5,6.061363697,20.01000023,5659.584473,101.0640084
440797.978,5018540.315,2021-11-07T01:07:48,22.5,6.081818104,20.01000023,5125.737793,91.53103202
440795.3062,5018541.057,2021-11-07T01:07:49,22.5,6.197727203,20.01000023,4590.586426,81.97475761
440792.6626,5018541.799,2021-11-07T01:07:50,22.5,6.177272797,20.01000023,4627.824219,82.6397182
440790.0049,5018542.54,2021-11-07T01:07:51,22.5,6.150000095,20.01000023,5157.45166,92.09735107
440787.3754,5018543.281,2021-11-07T01:07:52,22.5,6.129545689,20.01000023,5707.674805,101.9227644
440769.3531,5018554.861,2021-11-07T01:08:17,23.60000038,5.052272797,20.01000023,6374.857422,113.8367397
440769.854,5018557.16,2021-11-07T01:08:18,23.39999962,5.256818295,20.01000023,6501.179688,116.0924944
440770.3419,5018559.573,2021-11-07T01:08:19,23.5,5.502272606,20.01000023,6251.898926,111.6410523
440770.8018,5018562.013,2021-11-07T01:08:20,23.39999962,5.590909004,20.01000023,6016.431641,107.4362793
440771.2481,5018564.496,2021-11-07T01:08:21,23.60000038,5.659090996,20.01000023,5762.429199,102.9005214
440771.6806,5018567.022,2021-11-07T01:08:22,23.79999924,5.727272511,20.01000023,5678.923828,101.4093541
440772.1133,5018569.561,2021-11-07T01:08:23,23.89999962,5.795454502,20.01000023,5858.460938,104.6153739
440772.5742,5018572.1,2021-11-07T01:08:24,23.79999924,5.768181801,20.01000023,6334.776855,113.1210153
440773.0631,5018574.625,2021-11-07T01:08:25,23.89999962,5.747727394,20.01000023,7023.411133,125.4180559
440773.5943,5018577.149,2021-11-07T01:08:26,24,5.795454502,20.01000023,7716.556641,137.7956543
440774.1537,5018579.673,2021-11-07T01:08:27,24.10000038,5.795454502,20.01000023,8304.511719,148.2948521
440774.7834,5018582.168,2021-11-07T01:08:28,24,5.768181801,20.01000023,8794.495117,157.0445557
440775.4552,5018584.649,2021-11-07T01:08:29,24,5.747727394,20.01000023,9174.178711,163.8246198
440776.1691,5018587.116,2021-11-07T01:08:30,24,5.768181801,20.01000023,9488.796875,169.4428013
440776.9395,5018589.582,2021-11-07T01:08:31,23.89999962,5.768181801,20.01000023,9848.890625,175.8730469
440777.7379,5018592.033,2021-11-07T01:08:32,23.79999924,5.768181801,20.01000023,10001.05859,178.590332
440778.5503,5018594.471,2021-11-07T01:08:33,23.70000076,5.768181801,20.01000023,9758.600586,174.2607248
