X,Y,timestamp,moisture,speed,width,yield
440807.9507,5018820.621,2021-11-07T00:49:15,23.10000038,6.21818161,7.510000229,110.6378479
440841.5593,5018758.789,2021-11-07T00:48:50,24,5.570454597,10.98999977,110.6905594
440763.1195,5018840.221,2021-11-07T00:37:05,22.10000038,5.099999905,20.01000023,110.7207794
440769.5697,5018841.018,2021-11-07T00:40:54,22.29999924,5.522727489,20.01000023,110.8130798
440821.1028,5018772.33,2021-11-07T00:46:09,21.70000076,5.8840909,20.01000023,111.074379
440779.7861,5018879.605,2021-11-07T00:39:44,22.5,4.922727108,16.01000023,111.1409378
440793.9405,5018783.376,2021-11-07T00:37:32,22.39999962,5.345454693,20.01000023,111.1518707
440770.4606,5018881.884,2021-11-07T00:44:17,22.20000076,4.697727203,20.01000023,111.2129669
440755.6212,5018853.949,2021-11-07T00:36:58,21.79999924,4.697727203,20.01000023,111.2623978
440761.5768,5018856.113,2021-11-07T00:40:47,22.10000038,5.393181801,20.01000023,111.5006409
440789.369,5018831.094,2021-11-07T00:46:33,22.60000038,6.422727108,20.01000023,111.5561142
440786.2257,5018823.635,2021-11-07T00:42:42,23,5.413636208,20.01000023,111.5813293
440772.9597,5018861.248,2021-11-07T00:46:45,22.5,6.395454407,20.01000023,111.7963181
440785.0755,5018825.767,2021-11-07T00:42:43,23,5.413636208,20.01000023,112.0276566
440758.7795,5018906.583,2021-11-07T00:40:24,23,3.668181896,17.48999977,112.2879868
440783.5308,5018802.358,2021-11-07T00:37:23,22.5,5.3659091,20.01000023,112.3983536
440766.4041,5018834.19,2021-11-07T00:37:08,22,5.168181896,20.01000023,113.1890945
440759.8347,5018846.238,2021-11-07T00:37:02,22,5.03181839,20.01000023,113.3379745
440844.0294,5018754.579,2021-11-07T00:48:48,24.20000076,4.943181992,10.01000023,113.5030441
440777.0529,5018840.709,2021-11-07T00:42:50,22.60000038,5.434091091,20.01000023,113.5266037
440759.0343,5018908.197,2021-11-07T00:40:23,23.29999924,3.177272797,16.01000023,113.6129227
440772.424,5018849.225,2021-11-07T00:42:54,22.5,5.413636208,20.01000023,113.6535492
440784.6812,5018800.254,2021-11-07T00:37:24,22.39999962,5.393181801,20.01000023,114.2318115
440768.406,5018843.207,2021-11-07T00:40:53,22.39999962,5.522727489,20.01000023,114.6387253
440816.0034,5018781.792,2021-11-07T00:46:13,21.60000038,6.081818104,20.01000023,114.8816986
440787.7219,5018871.943,2021-11-07T00:39:39,24.89999962,5.052272797,20.01000023,115.2126007
440840.2838,5018761.091,2021-11-07T00:48:51,24.10000038,5.863636494,10.01000023,116.111084
440785.8457,5018798.149,2021-11-07T00:37:25,22.29999924,5.393181801,20.01000023,116.1873779
440806.7463,5018798.909,2021-11-07T00:46:20,22.39999962,6.238636494,20.01000023,116.3156586
440792.7759,5018785.466,2021-11-07T00:37:31,22.20000076,5.393181801,20.01000023,116.3369141
440806.6202,5018823.064,2021-11-07T00:49:16,22.60000038,6.21818161,7.510000229,116.5608215
440859.2868,5018759.438,2021-11-07T00:33:49,22.60000038,4.227272511,20.01000023,116.6343842
440832.9341,5018735.025,2021-11-07T00:38:15,22.5,3.934090853,17.48999977,116.6939697
440819.8417,5018774.66,2021-11-07T00:46:10,21.5,5.952272892,20.01000023,116.7040176
440827.6476,5018772.676,2021-11-07T00:48:00,22.5,6.04090929,20.01000023,117.1499939
440819.1271,5018739.018,2021-11-07T00:31:26,22.5,4.493181705,20.01000023,117.4511642
440787.0102,5018796.045,2021-11-07T00:37:26,22.29999924,5.393181801,20.01000023,117.5436478
